Descrição do Item,Categoria,Valor,Data
Serviço de telefonia fixa empresarial 500 Mbps - Vodafone (Período: Mai/2024),Telecomunicações,4544.32 €,13.03.2023
Serviço de VoIP empresarial 100 Mbps - Vodafone - Ref: P932,Telecomunicações,1047.93€,2023-01-29
projetor em couro sintético azul para escritório (NIF: 1947632289),Mobiliário e Equipamento de Escritório,8263.66 €,14.09.2023
Serviço de planeamento fiscal trimestral (Período: Ago/2024),Serviços de Contabilidade,9008.00€,15/06/2023
Despesa com transporte de mercadorias - internacional - Cód. N8849,Despesas de Transporte e Logística,5855.39 €,16/06/2023
Serviço de preparação de IES mensal (Período: Out/2024),Serviços de Contabilidade,582.41€,28/08/2023
Serviço de telefonia fixa empresarial 500 Mbps - MEO (Período: Dez/2024),Telecomunicações,9867.56 €,10.02.2023
Serviço de VoIP empresarial 500 Mbps - NOS - Ref: C305,Telecomunicações,6727.56 €,22-12-2023
Serviço jurídico de direito laboral - elaboração de acordo - Fatura nº 9759/2024,Serviços Jurídicos,2421.16 €,30-08-2023
quadro branco em madeira preto para escritório - Ref: M299,Mobiliário e Equipamento de Escritório,3295.99 €,12-08-2023
Serviço de preparação de demonstrações financeiras trimestral (NIF: 9316305503),Serviços de Contabilidade,431.76 €,15.01.2023
Despesa com serviços de courier - urbano (NIF: 6827993950),Despesas de Transporte e Logística,7136.91€,22.05.2023
Fornecimento de eletricidade para instalações - tarifa bi-horária (Endesa) (Período: Nov/2024),Energia e Utilidades,7048.96€,08.08.2023
Formação em Excel avançado para colaboradores - presencial 8 horas (NIF: 6177882955),Formação e Desenvolvimento,1824.57€,2023-06-13
Serviço de internet de fibra ótica empresarial 200 Mbps - MEO - Ref: O152,Telecomunicações,846.13 €,2023-05-15
Serviço de planeamento fiscal trimestral - Cód. S4805,Serviços de Contabilidade,125.43 €,25/07/2023
Serviço de auditoria financeira trimestral conforme SOX (Período: Mar/2024),Serviços de Auditoria,5901.18 €,25.08.2023
Serviço de auditoria financeira semestral conforme ISO 9001 (Período: Jan/2024),Serviços de Auditoria,784.59 €,04/05/2023
sistema de videoconferência em madeira preto para escritório (NIF: 5170757091),Mobiliário e Equipamento de Escritório,7628.08€,11.09.2023
Consultoria em transformação digital - projeto de 3 meses - Cód. C7417,Serviços de Consultoria,4390.66€,20/11/2023
Despesa com serviços de courier - urbano - Fatura nº 9646/2024,Despesas de Transporte e Logística,6202.82€,16-03-2023
Despesa com manutenção de frota - nacional - Fatura nº 3299/2024,Despesas de Transporte e Logística,6239.20 €,30/12/2023
Fornecimento de água para instalações - tarifa tri-horária (EDP) - Fatura nº 1548/2024,Energia e Utilidades,384.29 €,29.08.2023
Licença por dispositivo de Salesforce Enterprise (NIF: 6257219401),Licenciamento de Software,6193.11€,19.08.2023
Contratação de seguro de frota automóvel - cobertura all-risk (Tranquilidade) - Cód. R1294,Seguros,3763.27 €,25/06/2023
Serviço de SEO para LinkedIn - Fatura nº 1779/2024,Serviços de Marketing,7701.00 €,05-08-2023
Contratação de seguro de responsabilidade civil - cobertura standard (Ageas) (Período: Jul/2024),Seguros,2807.62 €,02-05-2023
Contratação de seguro multirriscos - cobertura all-risk (Ageas) (Período: Jul/2024),Seguros,4457.04€,10-11-2023
Fornecimento de conjunto de agendas para escritório - Fatura nº 6981/2024,Material de Escritório,4590.03€,06.07.2023
Serviço jurídico de contencioso fiscal - elaboração de parecer - Cód. M2057,Serviços Jurídicos,1338.99 €,21/12/2023
Switch de Rede Samsung Ultra para uso profissional (NIF: 8797514967),Equipamentos Informáticos,2049.20 €,02/05/2023
Contratação de seguro multirriscos - cobertura standard (Allianz) (Período: Mar/2024),Seguros,9245.55 €,26.03.2023
Consultoria em sustentabilidade - projeto de 3 meses - Cód. V1250,Serviços de Consultoria,8061.66 €,17-10-2023
Fornecimento de gestão de resíduos para instalações - tarifa tri-horária (Goldenergy) (NIF: 6330645952),Energia e Utilidades,3868.34 €,11.08.2023
Serviço de linha verde empresarial 1 Gbps - MEO - Cód. D2060,Telecomunicações,3589.11€,04/09/2023
Formação em segurança no trabalho para colaboradores - presencial 8 horas - Cód. P2617,Formação e Desenvolvimento,8839.15€,2023-08-22
Contratação de seguro de saúde grupal - cobertura standard (Fidelidade) - Cód. Z4215,Seguros,6382.67€,18-02-2023
Serviço de elaboração de relatórios financeiros trimestral (NIF: 9889157281),Serviços de Contabilidade,9872.06€,2023-02-25
Consultoria em recursos humanos - contrato anual - Cód. L1951,Serviços de Consultoria,2379.13€,11-10-2023
Manutenção preventiva anual de elevadores - Cód. W6832,Serviços de Manutenção,5834.40 €,19/02/2023
Monitor BenQ Advanced para uso profissional (NIF: 9162346849),Equipamentos Informáticos,3040.64 €,2023-11-19
Serviço de auditoria de segurança da informação pontual conforme ISO 14001 (Período: Abr/2024),Serviços de Auditoria,9288.12 €,20/08/2023
Despesa com transporte de mercadorias - nacional - Cód. Y1009,Despesas de Transporte e Logística,5485.17€,14-03-2023
armário de arquivo em couro sintético azul para escritório - Cód. X1868,Mobiliário e Equipamento de Escritório,1542.72 €,2023-12-13
Manutenção preventiva semestral de veículos da empresa (NIF: 1617555547),Serviços de Manutenção,7550.82 €,12/12/2023
Serviço de apoio em auditorias fiscais anual (NIF: 2406698562),Serviços de Contabilidade,3984.65€,23-09-2023
Serviço de gestão de redes sociais para Facebook (Período: Mar/2024),Serviços de Marketing,7386.18 €,07-05-2023
Formação em gestão de conflitos para colaboradores - online 8 horas - Ref: N631,Formação e Desenvolvimento,7092.72€,24/08/2023
Licença enterprise de Sage Pro - Ref: E579,Licenciamento de Software,8903.58€,12-01-2023
Fornecimento de água para instalações - tarifa simples (Iberdrola) (Período: Jul/2024),Energia e Utilidades,851.84 €,08.10.2023
Consultoria em inovação - pontual (Período: Jul/2024),Serviços de Consultoria,9794.59€,2023-12-01
Serviço jurídico de resolução de litígios - elaboração de acordo - Ref: V604,Serviços Jurídicos,4295.52€,22/09/2023
Consultoria em transformação digital - contrato anual (Período: Fev/2024),Serviços de Consultoria,957.51€,27-03-2023
Serviço de SEO para TikTok - Fatura nº 2432/2024,Serviços de Marketing,7326.60€,29.06.2023
Despesa com transporte de mercadorias - urbano - Cód. S2608,Despesas de Transporte e Logística,5186.98 €,26/10/2023
Formação em competências digitais para colaboradores - online 24 horas (NIF: 6865649168),Formação e Desenvolvimento,3313.57€,07-11-2023
Contratação de seguro de frota automóvel - cobertura premium (Tranquilidade) - Ref: Q785,Seguros,1653.82 €,28-09-2023
Serviço de gestão de redes sociais para Instagram (Período: Dez/2024),Serviços de Marketing,132.10€,21/06/2023
Consultoria em gestão - pontual - Fatura nº 8310/2024,Serviços de Consultoria,8554.91€,05/10/2023
Licença perpétua de Sage Plus - Ref: B317,Licenciamento de Software,1729.92 €,15.04.2023
Licença cloud de QuickBooks 2023 (Período: Out/2024),Licenciamento de Software,8959.91€,12/12/2023
Fornecimento de conjunto de marcadores para escritório (Período: Abr/2024),Material de Escritório,1584.86€,28.01.2023
Fornecimento de conjunto de furadorew para escritório - Fatura nº 6876/2024,Material de Escritório,2682.00 €,29-11-2023
Serviço de auditoria ambiental anual conforme ISO 9001 - Cód. Y5559,Serviços de Auditoria,4918.27 €,01/03/2023
Serviço de auditoria financeira pontual conforme RGPD - Ref: Y210,Serviços de Auditoria,5016.53€,2023-08-18
mesa de reunião em metal castanho para dscritório - Ref: F799,Mobiliário e Equipamento de Escritório,4756.37€,14/10/2023
Licença por utilizador de Antivírus Corporativo Enterprise - Fatura nº 7693/2024,Licenciamento de Software,3271.41€,01/09/2023
Licença por dispositivo de Primavera 2023 (Período: Abr/2024),Licenciamento de Software,2277.59€,01/06/2023
Serviço de branding para Instagram (Período: Ago/2024),Serviços de Marketing,5964.93 €,2023-01-13
Manutenção preditiva anual de elevadores (Período: Jun/2024),Serviços de Manutenção,4137.37€,2023-11-20
mesa de reunião em metal branco para escritório (Período: Jul/2024),Mobiliário e Equipamento de Escritório,9447.20€,15/04/2023
Fornecimento de energias renováveis para instalações - tarifa tri-horária (Iberdrola) (Período: Mai/2024),Energia e Utilidades,2088.58€,13.10.2023
Licença anual de AutoCAD Plus - Cód. G7110,Licenciamento de Software,508.45€,2023-09-11
Consultoria em gestão de projetos - contrato anual - Cód. N1955,Serviços de Consultoria,3791.16 €,22-12-2023
Despesa com serviços de courier - urbano - Fatura nº 9136/2024,Despesas de Transporte e Logística,4212.86 €,27.06.2023
Serviço de linha verde empresarial 200 Mbps - Vodafone (NIF: 8161250548),Telecomunicações,8833.09 €,2023-03-02
Contratação de seguro de frota automóvel - cobertura premium (Allianz) - Cód. B7510,Seguros,7504.16 €,2023-11-10
Serviço de linha verde empresarial 100 Mbps - NOS (Período: Ago/2024),Telecomunicações,1297.51 €,2023-09-20
Licença por dispositivo de Antivíris Corporativo Pro - Ref: T349,Licenciamento de Software,161.54 €,2023-12-28
Licença enterprise de Microsoft Office Plus - Cód. J6163,Licenciamento de Software,3188.49€,26.02.2023
cofre em vidro cinza para escritório - Fatura nº 4459/2024,Mobiliário e Equipamento de Escritório,5770.87 €,2023-09-15
Despesa com transporte de mercadorias - nacional - Cód. D2964,Despesas de Transporte e Logística,7734.40 €,2023-01-13
Contratação de seguro de cibersegurança - cobertura básica (Generali) - Ref: X154,Seguros,5536.62€,25/01/2023
Consultoria em compliance - pontual (Período: Mar/2024),Serviços de Consultoria,7823.55€,03/01/2023
Licença por utilizador de Adobe Creative Suite Ultimate - Fatura nº 9400/2024,Licenciamento de Software,6643.17 €,2023-06-15
Licença cloud de Adobe Creative Suite Ultimate - Fatura nº 2086/2024,Licenciamento de Software,2367.33 €,30-04-2023
Rato Dell Pro para uso profissional (NIF: 5243320472),Equipamentos Informáticos,4626.83 €,28/04/2023
Computador Apple Basic para uso profissional - Fatura nº 7067/2024,Equipamentos Informáticos,1080.93 €,2023-10-30
Consultoria em recursos humanos - projeto de 3 meses (Período: Set/2024),Serviços de Consultoria,1273.37 €,05.10.2023
Manutenção preditiva semestral de veículos da empresa - Cód. M5533,Serviços de Manutenção,4251.09€,29/06/2023
Serviço de SEO para YouTube - Ref: F465,Serviços de Marketing,4607.35€,27/08/2023
Serviço de design gráfico para YouTube - Cód. B4031,Serviços de Marketing,6477.69€,05.02.2023
projetor em plástico branco para escritório - Cód. Y2980,Mobiliário e Equipamento de Escritório,1633.50€,27.10.2023
Fornecimento de gestão de resíduos para instalações - tarifa bi-horária (Endesa) - Ref: D262,Energia e Utilidades,629.35 €,17-07-2023
Serviço jurídico de assessoria contratual - elaboração de contrato - Cód. M8621,Serviços Jurídicos,765.80 €,13.11.2023
Licença enterprise de Microsoft Office Pro (Período: Ago/2024),Licenciamento de Software,6482.66 €,04/10/2023
Consultoria em transformação digital - pontual (Período: Dez/2024),Serviços de Consultoria,4273.83€,16-01-2023
Manutenção preventiva mensal de sistemas de segurança - Ref: A407,Serviços de Manutenção,7125.95€,21/05/2023
Fornecimento de eletricidade para instalações - tarifa simples (Galp) (NIF: 1979320102),Energia e Utilidades,2964.32 €,2023-09-22
Licença cloud de Antivírus Corporativo Pro (Período: Jan/2024),Licenciamento de Software,5293.25 €,22/11/2023
Despesa com serviços de courier - nacional (Período: Jan/2024),Despesas de Transporte e Logística,6783.87 €,15.11.2023
Fornecimento de conjunto de canetas para escritório (NIF: 6112532533),Material de Escritório,6972.45€,23-08-2023
Switch de Rede Logitech Advanced para uso profissional (NIF: 9443609934),Equipamentos Informáticos,643.19 €,01-09-2023
cadeira ergonómica em plástico branco para escritório (Período: Set/2024),Mobiliário e Equipamento de Escritório,2799.14€,18.03.2023
Licença anual de SPSS Pro (Período: Fev/2024),Licenciamento de Software,8329.50€,01.07.2023
Licença por utilizador de SPSS 2023 (NIF: 2583935233),Licenciamento de Software,2520.06€,30/12/2023
Impressora BenQ Basic para uso profissional (NIF: 1765952549),Equipamentos Informáticos,8960.76€,03-08-2023
Serviço de preparação de IES mensal - Cód. L8553,Serviços de Contabilidade,5842.68€,09.02.2023
Disco Rígido Externo HP Advanced para uso profissional (NIF: 6667930264),Equipamentos Informáticos,8428.56€,09-12-2023
Consultoria em internacionalização - pontual - Cód. V4140,Serviços de Consultoria,2246.64€,20.06.2023
Serviço de auditoria forense pontual conforme SOX - Cód. H2267,Serviços de Auditoria,3843.80€,26.11.2023
Licença enterprise de Adobe Creative Suite Pro (NIF: 6558829211),Licenciamento de Software,208.39 €,14.06.2023
Manutenção corretiva trimestral de sistemas de climatização - Fatura nº 1012/2024,Serviços de Manutenção,1506.06€,14.09.2023
Contratação de seguro multirriscos - cobertura premium (Tranquilidade) - Fatura nº 8285/2024,Seguros,3294.87 €,2023-06-19
Serviço jurídico de assessoria contratual - elaboração de parecer - Cód. Z7396,Serviços Jurídicos,8817.66 €,12-09-2023
Serviço de organização de eventos para LinkedIn - Fatura nº 8150/2024,Serviços de Marketing,842.21€,15-03-2023
Serviço jurídico de fusões e aquisições - elaboração de acordo - Cód. B5449,Serviços Jurídicos,5423.46€,06/05/2023
Serviço de preparação de IES mensal - Fatura nº 4719/2024,Serviços de Contabilidade,5349.87€,30/03/2023
sofá para receção em plástico castanho para escritório (Período: Nov/2024),Mobiliário e Equipamento de Escritório,8144.85€,28/03/2023
Serviço de design gráfico para LinkedIn - Ref: T439,Serviços de Marketing,9460.92 €,12.04.2023
Serviço de internet de fibra ótica empresarial 100 Mbps - MEO (NIF: 2994878059),Telecomunicações,7050.35 €,2023-04-12
Fornecimento de pacote de papel A4 para escritório (NIF: 5648097813),Material de Escritório,4233.56€,03/11/2023
Licença anual de AutoCAD Plus (NIF: 6222297556),Licenciamento de Software,42.15 €,14-09-2023
Manutenção preventiva trimestral de rede informática - Ref: C477,Serviços de Manutenção,3647.25€,2023-03-15
Consultoria em transformação digital - pontual - Ref: N459,Serviços de Consultoria,169.84€,2023-01-26
Formação em línguas estrangeiras para colaboradores - blended 8 hofas - Ref: C144,Formação e Desenvolvimento,4767.75€,10/04/2023
Fornecimento de energias renováveis para instalações - tarifa bi-horária (Galp) - Cód. J4931,Energia e Utilidades,1560.03 €,30-11-2023
Consultoria em gestão - pontual - Ref: R290,Serviços de Consultoria,3196.47€,26.04.2023
Fornecimento de caixa de envelopes para escritório - Ref: V712,Material de Escritório,4942.70€,05.05.2023
Manutenção preditiva anual de sistemas de climatização - Fatura nº 4869/2024,Serviços de Manutenção,4719.20 €,20.07.2023
Formação em liderança para colaboradores - online 16 horas - Cód. X9231,Formação e Desenvolvimento,4059.28 €,31/12/2023
Fornecimento de pacote de papel A4 para escritório - Fatura nº 5540/2024,Material de Escritório,4469.73€,2023-09-17
Serviço de telefonia fixa empresarial 200 Mbps - NOWO - Cód. D3098,Telecomunicações,2487.56 €,2023-05-18
Fornecimento de resma de agendas para escritório - Cód. T6685,Material de Escritório,9322.15€,2023-01-20
Impressora Samsung Ultra çara uso profissional - Cód. Q5380,Equipamentos Informáticos,2106.15€,2023-08-07
Licença cloud de QuickBooks Pro - Cód. R6510,Licenciamento de Software,8714.79€,14.02.2023
Serviço de çreparação de IES anual - Cód. O7028,Serviços de Contabilidade,122.94 €,22/06/2023
Serviço jurídico de contencioso fiscal - elaboração de contrato - Ref: Q966,Serviços Jurídicos,3977.27 €,12.11.2023
Serviço de auditoria de qualidade anual conforme ISO 9001 - Fatura nº 1013/2024,Serviços de Auditoria,8080.76 €,07-04-2023
Serviço jurídico de resolução de litígios - elaboração de procuração - Cód. T6447,Serviços Jurídicos,9002.89€,09/05/2023
Licença perpétua de QuickBooks Plus - Fatura nº 3322/2024,Licenciamento de Software,4499.86 €,2023-01-11
Despesa com combustível - nacional (NIF: 1224418479),Despesas de Transporte e Logística,3980.27 €,25/11/2023
Fornecimento de gestão de resíduos para instalações - tarifa bi-horária (Goldenergy) (NIF: 8816924808),Energia e Utilidades,8931.13 €,18.12.2023
Fornecimento de gás natural para instalações - tarifa bi-horária (EDP) (NIF: 5918287408),Energia e Utilidades,4537.11 €,2023-02-15
Serviço de internet de fibra ótica empresarial 1 Gbps - NOS - Cód. B3131,Telecomunicações,5121.35 €,2023-03-15
Manutenção preventiva anual de veículos da empresa - Cód. B4391,Serviços de Manutenção,9431.08€,2023-11-29
Fornecimento de energias renováveis para instalações - tarifa simples (Galp) - Fatura nº 7854/2024,Energia e Utilidades,6486.40€,2023-04-03
Serviço de VoIP empresarial 100 Mbps - Vodafone (Período: Jul/2024),Telecomunicações,5417.77€,2023-08-12
Serviço de auditoria forense anual conforme RGPD - Fatura nº 5238/2024,Serviços de Auditoria,2936.72 €,17.11.2023
Serviço de centralita virtual empresarial 1 Gbps - NOS (NIF: 5243853925),Telecomunicações,8709.48 €,19-08-2023
Serviço jurídico de recuperação de créditos - elaboração de procuração - Cód. V4802,Serviços Jurídicos,6349.18€,23.09.2023
Fornecimento de caixa de papel A4 para escritório (NIF: 6579254266),Material de Escritório,8121.69 €,05-03-2023
Licença anual de Sage Enterprise - Ref: Y714,Licenciamento de Software,4138.17 €,21/07/2023
Consultoria em recursos humanos - pontual - Fatura nº 3914/2024,Serviços de Consultoria,5057.41 €,2023-01-15
Manutenção preditiva semestral de sistemas elétricos (Período: Abr/2024),Serviços de Manutenção,5568.50 €,05-04-2023
Serviço de planeamento fiscal trimestral - Ref: P402,Serviços de Contabilidade,209.49€,2023-07-13
Serviço de auditoria de segurança da informação anual conforme ISO 14001 - Fatura nº 8339/2024,Serviços de Auditoria,5027.47€,23/01/2023
Serviço de auditoria financeira trimestral conforme ISO 14001 (Período: Nov/2024),Serviços de Auditoria,1180.07 €,03/06/2023
Consultoria em marketing digital - pontual (Período: Nov/2024),Serviços de Consultoria,4211.51€,10/09/2023
Consultoria em gestão - pontual - Cód. V1807,Serviços de Consultoria,9306.98 €,09.11.2023
Fornecimento de pacote de envelopes para escritório (Período: Nov/2024),Material de Escritório,5752.29€,01/03/2023
cadeira ergonómica em vidro azul para escritório - Cód. G7397,Mobiliário e Equipamento de Escritório,6685.21€,2023-11-06
Despesa com aluguer de veículos - expresso - Cód. E5419,Despesas de Transporte e Logística,9405.74€,22-01-2023
Serviço de internet de fibra ótica empresarial 100 Mbps - NOWO (Período: Abr/2024),Telecomunicações,3460.25€,25.02.2023
Serviço de design gráfico para Facebook - Fatura nº 3078/2024,Serviços de Marketing,8117.46€,2023-12-14
Serviço jurídico de propriedade intelectual - elaboração de acordo - Cód. Y3940,Serviços Jurídicos,9749.04€,29/10/2023
Fornecimento de pacote de envelopes para escritório - Fatura nº 4007/2024,Material de Escritório,7182.36€,2023-07-14
Serviço jurídico de propriedade intelectual - elaboração de acordo (Período: Nov/2024),Serviços Jurídicos,7195.73 €,2023-08-15
cadeira ergonómica em vidro azul para escritório - Ref: N707,Mobiliário e Equipamento de Escritório,6499.51€,01.08.2023
Scanner Asus Basic para uso prlfissional - Cód. K4733,Equipamentos Informáticos,694.63 €,04/01/2023
Serviço de VoIP empresarial 1 Gbps - Vodafone - Cód. C8689,Telecomunicações,8335.54€,16/02/2023
Serviço de design gráfico para TikTok - Fatura nº 6646/2024,Serviços de Marketing,3827.66€,17.08.2023
Fornecimento de resma de papel A4 para escritório - Cód. A1793,Material de Escritório,4996.76€,08.07.2023
Serviço jurídico de resolução de litígios - elaboração de acordo - Cód. L9461,Serviços Jurídicos,2157.76€,2023-09-02
Serviço jurídico de contencioso fiscal - elaboração de procuração (Período: Dez/2024),Serviços Jurídicos,3952.24 €,03/07/2023
Teclado LG Turbo para uso profissional (NIF: 2247692319),Equipamentos Informáticos,8296.18 €,23-10-2023
Serviço de auditoria operacional trimestral conforme ISO 14001 - Fatura nº 2622/2024,Serviços de Auditoria,5709.90€,06/11/2023
Serviço jurídico de propriedade intelectual - elaboração de procuração (Período: Fev/2024),Serviços Jurídicos,245.59€,05.01.2023
Consultoria em gestão de projetos - pontual (NIF: 1135344604),Serviços de Consultoria,353.92 €,2023-10-12
Serviço de internet de fibra ótica empresarial 100 Mbps - Vodafone - Ref: J159,Telecomunicações,140.60 €,22-04-2023
Serviço de elaboração de relatórios financeiros anual (Período: Out/2024),Serviços de Contabilidade,5466.72€,11/06/2023
Serviço de elaboração de relatórios financeiros trimestral (NIF: 2422090845),Serviços de Contabilidade,7840.41 €,14/08/2023
Consultoria em gestão de projetos - projeto de 3 meses (NIF: 8294242535),Serviços de Consultoria,3484.65€,2023-06-09
Formação em RGPD para colaboradores - blended 40 horas - Cód. G9475,Formação e Desenvolvimento,8646.40 €,24.01.2023
Serviço jurídico de fusões e aquisições - elaboração de procuração - Ref: U339,Serviços Jurídicos,1963.58€,25.01.2023
Switch de Rede Apple Basic para uso profissional (Período: Out/2024),Equipamentos Informáticos,9851.62€,29-08-2023
Serviço de linha verde empresarial 100 Mbps - NOWO (Período: Jul/2024),Telecomunicações,8508.91 €,29.11.2023
Fornecimento de eletricidade para instalações - tarifa bi-horária (Goldenergy) - Ref: O187,Energia e Utilidades,5247.55€,27-05-2023
Fornecimento de gestão de resíduos para instalações - tarifa tri-horária (Endesa) (NIF: 6848458936),Energia e Utilidades,6608.45€,18/02/2023
Serviço de preparação de demonstrações financeiras trimestral - Fatura nº 2277/2024,Serviços de Contabilidade,6768.11€,14-10-2023
Computador TP-Link Basic para uso profissional - Fatura nº 7993/2024,Equipamentos Informáticos,1110.89 €,07.05.2023
Formação em gestão de conflitos para colaboradores - presencial 8 horas - Ref: K564,Formação e Desenvolvimento,7748.04€,08/08/2023
Licença cloud de Microsoft Office Plus - Cód. C6054,Licenciamento de Software,4369.34 €,2023-02-13
Serviço de auditoria ambiental pontual conforme RGPD - Ref: Y747,Serviços de Auditoria,5095.51€,10-09-2023
Fornecimento de gás natural para instalações - tarifa bi-horária (Galp) - Cód. A3179,Energia e Utilidades,2831.23€,15.11.2023
Serviço de auditoria oprracional trimestral conforme ISO 27001 - Ref: R370,Serviços de Auditoria,3944.34 €,25.08.2023
Consultoria em inovação - pontual - Cód. N8479,Serviços de Consultoria,2091.51€,28-08-2023
mesa de reunião em vidro azul para escritório - Ref: T408,Mobiliário e Equipamento de Escritório,2056.42 €,04.05.2023
Despesa com aluguer de veículos - internacional - Fatura nº 8248/2024,Despesas de Transporte e Logística,5425.33 €,03.10.2023
Serviço de consultoria fiscal anual - Fatura nº 7135/2024,Serviços de Contabilidade,9809.72€,21-11-2023
Manutenção corretiva mensal de equipamentos de escritório - Cód. O2532,Serviços de Manutenção,4872.24 €,11-09-2023
Fornecimento de eletricidade para instalações - tarifa tri-horária (Endesa) (Período: Set/2024),Energia e Utilidades,8949.32€,2023-12-08
Serviço de plano de dados móveis empresarial 500 Mbps - MEO - Fatura nº 2491/2024,Telecomunicações,9542.68 €,07/08/2023
Fornecimento de resma de pastas de arquivo para escritório (NIF: 1292059842),Material de Escritório,4464.96 €,2023-02-19
Formação em segurança no trabalho para colaboradores - presencial 16 horas (NIF: 8629448997),Formação e Desenvolvimento,8966.04 €,27-11-2023
secretária em plástico azul para escritório - Ref: O621,Mobiliário e Equipamento de Escritório,2406.84 €,05/12/2023
cadeira ergonómica em madeira preto para escritório (Período: Jan/2024),Mobiliário e Equipamento de Escritório,5178.99€,09-04-2023
Formação em línguas estrangeiras para colaboradores - blended 16 horas - Fatura nº 2505/2024,Formação e Desenvolvimento,1218.48€,12/08/2023
Serviço de plano de dados móveis empresarial 200 Mbps - MEO (NIF: 8855267555),Telecomunicações,6179.90€,07/12/2023
Fornecimento de pacote de canetas para escritório - Ref: B836,Material de Escritório,8498.95 €,05/04/2023
Serviço de email marketing para LinkedIn (Período: Jun/2024),Serviços de Marketing,5754.84 €,2023-07-31
Fornecimento de eletricidade para instalações - tarifa simples (Endesa) - Fatura nº 8468/2024,Energia e Utilidades,4775.84 €,17/09/2023
Despesa com aluguer de veículos - expresso - Cód. Q9678,Despesas de Transporte e Logística,7913.06 €,16.05.2023
Fornecimento de gestão de resíduos para instalações - tarifa bi-horária (Endesa) (NIF: 8188746394),Energia e Utilidades,6608.63 €,21/02/2023
Fornecimento de resma de tinteiros para escritório (NIF: 1783166875),Material de Escritório,7952.49 €,14/04/2023
Contratação de seguro de responsabilidade civil - cobertura standard (Fidelidade) - Cód. Y4701,Seguros,8016.06 €,27-11-2023
Serviço de auditoria financeira trimestral conforme SOX - Fatura nº 5216/2024,Serviços de Auditoria,9925.76€,20.10.2023
Serviço de auditoria de qualidade pontual conforme ISO 9001 - Ref: U551,Serviços de Auditoria,3356.31€,08/08/2023
Serviço de auditoria financeira pontual conforme ISO 9001 - Cód. X1513,Serviços de Auditoria,1461.82€,13/03/2023
sistema de videoconferência em madeira azul para escritório - Ref: A425,Mobiliário e Equipamento de Escritório,530.25€,17-11-2023
Serviço jurídico de resolução de litígios - elaboração de parecer - Ref: Y318,Serviços Jurídicos,7827.18 €,07/01/2023
Serviço de consultoria fiscal mensal (NIF: 1851029608),Serviços de Contabilidade,3025.24€,23.03.2023
